Rank;ESRB_Rating;Critic_Score;User_Score;url
298;NA;10;0;http://www.vgchartz.com/game/47724/minecraft/?region=All
299;NA;0;0;http://www.vgchartz.com/game/6281/golf/?region=All
300;M;9;8.6;http://www.vgchartz.com/game/6992/fallout-3/?region=All
301;E10;8.5;0;http://www.vgchartz.com/game/13008/professor-layton-and-the-diabolical-box/?region=All
302;M;9;0;http://www.vgchartz.com/game/35020/left-4-dead-2/?region=All
303;E10;0;0;http://www.vgchartz.com/game/5413/namco-museum-50th-anniversary/?region=All
304;E;8.3;0;http://www.vgchartz.com/game/28824/ea-sports-active/?region=All
305;M;0;0;http://www.vgchartz.com/game/80235/assassins-creed-unity/?region=All
306;E;0;0;http://www.vgchartz.com/game/3114/donkey-kong-land/?region=All
307;T;8.7;0;http://www.vgchartz.com/game/6513/tony-hawks-underground/?region=All
308;M;8.7;0;http://www.vgchartz.com/game/71597/assassins-creed-iv-black-flag/?region=All
309;T;8.8;0;http://www.vgchartz.com/game/84734/monster-hunter-4-ultimate/?region=All
310;T;8.2;0;http://www.vgchartz.com/game/3850/motorstorm/?region=All
311;M;9.3;0;http://www.vgchartz.com/game/49112/the-elder-scrolls-v-skyrim/?region=All
312;T;9;0;http://www.vgchartz.com/game/2346/tekken-5/?region=All
313;NA;NC;NS;No_URL
314;E10;7.6;0;http://www.vgchartz.com/game/43960/sports-champions/?region=All
315;E10;8.7;0;http://www.vgchartz.com/game/85556/nba-2k16/?region=All
316;E;9.3;0;http://www.vgchartz.com/game/17047/world-soccer-winning-eleven-8-international/?region=All
317;E;6.1;0;http://www.vgchartz.com/game/12879/flash-focus-vision-training-in-minutes-a-day/?region=All
318;E;0;0;http://www.vgchartz.com/game/3876/namco-museum-vol1/?region=All
319;E;0;0;http://www.vgchartz.com/game/4568/the-legend-of-zelda-links-awakening/?region=All
320;E;9.1;0;http://www.vgchartz.com/game/32125/mario-amp-luigi-bowsers-inside-story/?region=All
321;E;7.1;0;http://www.vgchartz.com/game/2906/big-brain-academy-wii-degree/?region=All
322;E;7.2;0;http://www.vgchartz.com/game/45682/nintendogs-cats/?region=All
323;M;8.1;0;http://www.vgchartz.com/game/79437/batman-arkham-knight/?region=All
324;E;6.8;0;http://www.vgchartz.com/game/50943/mario-amp-sonic-at-the-london-2012-olympic-games/?region=All
325;E10;7.5;0;http://www.vgchartz.com/game/15206/lego-indiana-jones-the-original-adventures/?region=All
326;M;8.3;0;http://www.vgchartz.com/game/4167/resident-evil-directors-cut/?region=All
327;E10;8.5;0;http://www.vgchartz.com/game/1846/ratchet-amp-clank-size-matters/?region=All
328;E10;7.4;0;http://www.vgchartz.com/game/73119/just-dance-2014/?region=All
329;T;7.3;0;http://www.vgchartz.com/game/6489/the-sims-unleashed/?region=All
330;E;8.5;0;http://www.vgchartz.com/game/4448/super-paper-mario/?region=All
331;E;8;0;http://www.vgchartz.com/game/6293/harry-potter-and-the-sorcerers-stone/?region=All
332;M;0;0;http://www.vgchartz.com/game/71483/the-witcher-3-wild-hunt/?region=All
333;M;9.4;0;http://www.vgchartz.com/game/4161/resident-evil-3-nemesis/?region=All
334;E;9.1;0;http://www.vgchartz.com/game/6439/spyro-year-of-the-dragon/?region=All
335;E;8.4;0;http://www.vgchartz.com/game/6264/fifa-soccer-2005/?region=All
336;NA;NC;NS;No_URL
337;M;8.3;0;http://www.vgchartz.com/game/72001/battlefield-4/?region=All
